claim_id,patient_id,provider_id,claim_date,specialty,diagnosis_code,procedure_code,medication_code,amount,status,injected_fraud_type,is_duplicate,is_abnormal_amount,is_specialty_mismatch,is_medication_error,rule_based_fraud,fraud_reasons,name,specialty_provider,location,years_experience,license_number,hospital_affiliation,phone,email,avg_claims_per_month,fraud_risk_score,is_high_risk
CLAIM00001,PAT00317,PROV0084,2025-08-12 15:20:12.348144,gastroenterology,D016,P016,M015,7239.66,rejected,none,False,False,False,False,False,None,Michael Mills,orthopedics,Columbus,32,LIC13804,Jones-Fox Medical Center,588.306.7065x40515,michael.mills@jones-foxmedicalcenterhospital.com,35,0.29,False
CLAIM00002,PAT00844,PROV0080,2025-12-01 15:20:12.348144,neurology,D015,P002,M014,4659.2,rejected,mismatch_specialty_procedure,False,False,True,False,True,Specialty-Procedure Mismatch,Ruth Solis,oncology,San Diego,25,LIC30028,Salas Inc Medical Center,+1-475-881-8141x2478,ruth.solis@salasincmedicalcenterhospital.com,14,0.166,False
CLAIM00003,PAT00456,PROV0049,2025-08-03 15:20:12.348144,neurology,D014,P014,M013,3192.32,submitted,none,False,False,False,False,False,None,Andrew Shaw MD,orthopedics,Boston,14,LIC54942,Sawyer Group Medical Center,687-702-6217,andrew.shaw.md@sawyergroupmedicalcenterhospital.com,50,0.341,False
CLAIM00004,PAT01352,PROV0099,2025-08-01 15:20:12.348144,oncology,D005,P005,M006,26821.76,approved,none,False,False,False,False,False,None,Dylan Hughes,oncology,Chicago,18,LIC69087,Duran-Ramirez Medical Center,+1-891-221-6558x523,dylan.hughes@duran-ramirezmedicalcenterhospital.com,39,0.228,False
CLAIM00005,PAT01044,PROV0095,2025-09-23 15:20:12.348144,oncology,D006,P006,M006,21756.95,submitted,none,False,False,False,False,False,None,Travis Wise,neurology,Los Angeles,23,LIC79827,Curtis-Wang Medical Center,(490)978-4473x64710,travis.wise@curtis-wangmedicalcenterhospital.com,33,0.028,False
CLAIM00006,PAT00535,PROV0059,2025-07-28 15:20:12.348144,oncology,D006,P005,M006,23042.01,approved,none,False,False,False,False,False,None,Daniel Fowler,general_medicine,Jacksonville,20,LIC39831,Williams LLC Medical Center,529.731.8393,daniel.fowler@williamsllcmedicalcenterhospital.com,22,0.159,False
CLAIM00007,PAT00643,PROV0079,2025-10-02 15:20:12.348144,orthopedics,D009,P009,M007,43966.76,rejected,none,False,False,False,False,False,None,Jackson Ball,orthopedics,San Diego,18,LIC54020,Bishop-Goodwin Medical Center,838.834.7359x774,jackson.ball@bishop-goodwinmedicalcenterhospital.com,44,0.032,False
CLAIM00008,PAT00091,PROV0081,2025-10-02 15:20:12.348144,neurology,D013,P015,M012,7782.75,submitted,none,False,False,False,False,False,None,Thomas Velasquez,orthopedics,Seattle,30,LIC64496,Arias-Perry Medical Center,(485)236-1530x5152,thomas.velasquez@arias-perrymedicalcenterhospital.com,103,0.736,True
CLAIM00009,PAT00677,PROV0093,2025-11-19 15:20:12.348144,general_medicine,D011,P012,M010,2087.9,approved,none,False,False,False,False,False,None,Penny Bowman,neurology,Fort Worth,26,LIC35995,Saunders and Sons Medical Center,(380)618-2422x53584,penny.bowman@saundersandsonsmedicalcenterhospital.com,138,0.891,True
CLAIM00010,PAT01366,PROV0018,2025-09-25 15:20:12.348144,orthopedics,D008,P008,M008,8087.06,submitted,none,False,False,False,False,False,None,Kristen Patterson,neurology,Charlotte,34,LIC42953,Rodriguez Ltd Medical Center,(280)659-8262,kristen.patterson@rodriguezltdmedicalcenterhospital.com,10,0.272,False
CLAIM00011,PAT00777,PROV0020,2025-12-03 15:20:12.348144,general_medicine,D012,P010,M011,490.61,submitted,none,False,False,False,False,False,None,Sharon Cochran,general_medicine,New York,17,LIC75612,Moore-Haynes Medical Center,(707)633-7543x3036,sharon.cochran@moore-haynesmedicalcenterhospital.com,42,0.365,False
CLAIM00012,PAT00431,PROV0010,2025-10-01 15:20:12.348144,orthopedics,D009,P009,M009,44684.89,approved,none,True,False,False,False,True,Duplicate Billing,Michael Brown,oncology,Jacksonville,23,LIC37460,Whitehead LLC Medical Center,983-547-3829,michael.brown@whiteheadllcmedicalcenterhospital.com,14,0.244,False
CLAIM00013,PAT01047,PROV0025,2025-10-12 15:20:12.348144,general_medicine,D012,P010,M011,478.38,rejected,none,True,False,False,False,True,Duplicate Billing,Mark Lee,neurology,Philadelphia,17,LIC79163,"Cruz, Ross and Hernandez Medical Center",001-901-463-2870x831,"mark.lee@cruz,rossandhernandezmedicalcenterhospital.com",37,0.386,False
CLAIM00014,PAT00687,PROV0013,2025-07-06 15:20:12.348144,neurology,D013,P015,M003,7559.43,submitted,wrong_medication,False,False,False,True,True,Medication Error,Stephanie Martin,cardiology,Austin,26,LIC45093,Galloway LLC Medical Center,246.787.2343x098,stephanie.martin@gallowayllcmedicalcenterhospital.com,122,0.907,True
CLAIM00015,PAT00974,PROV0080,2025-11-16 15:20:12.348144,neurology,D013,P014,M012,3231.68,rejected,none,False,False,False,False,False,None,Ruth Solis,oncology,San Diego,25,LIC30028,Salas Inc Medical Center,+1-475-881-8141x2478,ruth.solis@salasincmedicalcenterhospital.com,14,0.166,False
CLAIM00016,PAT01047,PROV0025,2025-10-12 15:20:12.348144,general_medicine,D012,P010,M011,478.38,submitted,duplicate_billing,True,False,False,False,True,Duplicate Billing,Mark Lee,neurology,Philadelphia,17,LIC79163,"Cruz, Ross and Hernandez Medical Center",001-901-463-2870x831,"mark.lee@cruz,rossandhernandezmedicalcenterhospital.com",37,0.386,False
CLAIM00017,PAT00219,PROV0061,2025-09-29 15:20:12.348144,oncology,D004,P004,M006,7280.35,submitted,none,False,False,False,False,False,None,Derek Martinez,neurology,Austin,2,LIC25118,Fox-Reese Medical Center,975.289.1783x9084,derek.martinez@fox-reesemedicalcenterhospital.com,26,0.071,False
CLAIM00018,PAT00249,PROV0028,2025-10-07 15:20:12.348144,oncology,D004,P005,M006,27250.2,approved,none,False,False,False,False,False,None,Daniel Fisher,neurology,San Diego,15,LIC10942,"Shah, Smith and Gilmore Medical Center",001-567-905-4668,"daniel.fisher@shah,smithandgilmoremedicalcenterhospital.com",130,0.621,True
CLAIM00019,PAT01474,PROV0011,2025-10-20 15:20:12.348144,gastroenterology,D017,P018,M015,5397.21,rejected,none,False,False,False,False,False,None,Rhonda Lee,oncology,Seattle,16,LIC31417,Hopkins LLC Medical Center,(467)801-0651x33387,rhonda.lee@hopkinsllcmedicalcenterhospital.com,27,0.396,False
CLAIM00020,PAT00922,PROV0025,2025-08-18 15:20:12.348144,general_medicine,D010,P012,M010,2106.33,rejected,none,True,False,False,False,True,Duplicate Billing,Mark Lee,neurology,Philadelphia,17,LIC79163,"Cruz, Ross and Hernandez Medical Center",001-901-463-2870x831,"mark.lee@cruz,rossandhernandezmedicalcenterhospital.com",37,0.386,False
CLAIM00021,PAT00490,PROV0040,2025-08-22 15:20:12.348144,orthopedics,D008,P007,M008,1893.8,approved,none,False,False,False,False,False,None,Jeremy Dalton,neurology,Philadelphia,4,LIC76562,Torres-Oliver Medical Center,+1-213-834-1232x812,jeremy.dalton@torres-olivermedicalcenterhospital.com,73,0.624,True
CLAIM00022,PAT01107,PROV0014,2025-07-03 15:20:12.348144,cardiology,D001,P001,M001,2929.82,submitted,none,False,False,False,False,False,None,Kevin Shaw,orthopedics,San Antonio,32,LIC61856,"Moore, Yu and Miller Medical Center",(219)313-6193,"kevin.shaw@moore,yuandmillermedicalcenterhospital.com",39,0.057,False
CLAIM00023,PAT00132,PROV0090,2025-09-27 15:20:12.348144,cardiology,D002,P002,M004,4915.77,submitted,none,False,False,False,False,False,None,Kathryn Hughes,oncology,New York,10,LIC41266,"Wilson, Hampton and Padilla Medical Center",494.973.1217,"kathryn.hughes@wilson,hamptonandpadillamedicalcenterhospital.com",17,0.226,False
CLAIM00024,PAT00798,PROV0053,2025-11-09 15:20:12.348144,neurology,D015,P013,M014,4976.98,approved,none,False,False,False,False,False,None,Kenneth Andrews,gastroenterology,Phoenix,35,LIC14722,"Phillips, Spence and Barrett Medical Center",609-409-7439x533,"kenneth.andrews@phillips,spenceandbarrettmedicalcenterhospital.com",47,0.221,False
CLAIM00025,PAT00799,PROV0025,2025-09-28 15:20:12.348144,general_medicine,D012,P012,M011,1995.29,approved,none,False,False,False,False,False,None,Mark Lee,neurology,Philadelphia,17,LIC79163,"Cruz, Ross and Hernandez Medical Center",001-901-463-2870x831,"mark.lee@cruz,rossandhernandezmedicalcenterhospital.com",37,0.386,False
CLAIM00026,PAT00060,PROV0078,2025-09-20 15:20:12.348144,general_medicine,D011,P012,M010,2089.67,approved,none,False,False,False,False,False,None,Edward French,orthopedics,Indianapolis,32,LIC92149,"Wise, Conley and Stephenson Medical Center",4599296222,"edward.french@wise,conleyandstephensonmedicalcenterhospital.com",38,0.031,False
CLAIM00027,PAT01275,PROV0028,2025-10-27 15:20:12.348144,oncology,D004,P005,M015,22919.74,approved,wrong_medication,False,False,False,True,True,Medication Error,Daniel Fisher,neurology,San Diego,15,LIC10942,"Shah, Smith and Gilmore Medical Center",001-567-905-4668,"daniel.fisher@shah,smithandgilmoremedicalcenterhospital.com",130,0.621,True
CLAIM00028,PAT00103,PROV0012,2025-08-18 15:20:12.348144,cardiology,D002,P002,M003,4954.7,approved,none,True,False,False,False,True,Duplicate Billing,Joel Baxter,gastroenterology,Seattle,15,LIC99733,Ramos PLC Medical Center,908-501-3267,joel.baxter@ramosplcmedicalcenterhospital.com,13,0.092,False
CLAIM00029,PAT00777,PROV0090,2025-08-23 15:20:12.348144,cardiology,D002,P002,M003,4970.31,rejected,none,False,False,False,False,False,None,Kathryn Hughes,oncology,New York,10,LIC41266,"Wilson, Hampton and Padilla Medical Center",494.973.1217,"kathryn.hughes@wilson,hamptonandpadillamedicalcenterhospital.com",17,0.226,False
CLAIM00030,PAT00717,PROV0017,2025-08-09 15:20:12.348144,orthopedics,D009,P007,M007,2101.69,submitted,none,False,False,False,False,False,None,Brian Tran,cardiology,Phoenix,11,LIC99192,Campbell-Clark Medical Center,634-487-4016x40052,brian.tran@campbell-clarkmedicalcenterhospital.com,14,0.154,False
CLAIM00031,PAT00042,PROV0010,2025-11-19 15:20:12.348144,orthopedics,D007,P007,M007,1989.42,submitted,none,False,False,False,False,False,None,Michael Brown,oncology,Jacksonville,23,LIC37460,Whitehead LLC Medical Center,983-547-3829,michael.brown@whiteheadllcmedicalcenterhospital.com,14,0.244,False
CLAIM00032,PAT00447,PROV0086,2025-10-10 15:20:12.348144,orthopedics,D009,P008,M009,7468.46,rejected,none,False,False,False,False,False,None,Kaylee Hays,cardiology,Chicago,28,LIC27786,"Kennedy, Johnson and Lucas Medical Center",950-954-1566x7652,"kaylee.hays@kennedy,johnsonandlucasmedicalcenterhospital.com",21,0.02,False
CLAIM00033,PAT01472,PROV0031,2025-07-12 15:20:12.348144,general_medicine,D010,P011,M010,1015.74,approved,none,False,False,False,False,False,None,Alex Hernandez,general_medicine,San Antonio,7,LIC22704,Wells Inc Medical Center,001-437-645-2991,alex.hernandez@wellsincmedicalcenterhospital.com,32,0.169,False
CLAIM00034,PAT00769,PROV0043,2025-09-22 15:20:12.348144,oncology,D006,P004,M006,8147.36,rejected,none,False,False,False,False,False,None,Darryl Craig,orthopedics,San Antonio,21,LIC41285,"Matthews, Smith and Hubbard Medical Center",390-927-8742x967,"darryl.craig@matthews,smithandhubbardmedicalcenterhospital.com",18,0.269,False
CLAIM00035,PAT01428,PROV0099,2025-08-29 15:20:12.348144,oncology,D006,P006,M006,21184.91,rejected,none,False,False,False,False,False,None,Dylan Hughes,oncology,Chicago,18,LIC69087,Duran-Ramirez Medical Center,+1-891-221-6558x523,dylan.hughes@duran-ramirezmedicalcenterhospital.com,39,0.228,False
CLAIM00036,PAT00712,PROV0074,2025-10-27 15:20:12.348144,cardiology,D002,P003,M004,13706.87,rejected,none,False,False,False,False,False,None,Jacob Mitchell,cardiology,Columbus,15,LIC33053,"Lin, Wyatt and Gilbert Medical Center",267.998.0793x59782,"jacob.mitchell@lin,wyattandgilbertmedicalcenterhospital.com",43,0.186,False
CLAIM00037,PAT00861,PROV0060,2025-10-16 15:20:12.348144,general_medicine,D010,P011,M010,1027.12,approved,none,False,False,False,False,False,None,Rachel Carlson,orthopedics,Chicago,18,LIC56025,Garrison-Thomas Medical Center,(584)721-0205,rachel.carlson@garrison-thomasmedicalcenterhospital.com,35,0.272,False
CLAIM00038,PAT00892,PROV0030,2025-07-28 15:20:12.348144,oncology,D006,P006,M006,20463.65,rejected,none,True,False,False,False,True,Duplicate Billing,David Murphy,oncology,Seattle,9,LIC84847,Murphy-Juarez Medical Center,(246)541-7080x5310,david.murphy@murphy-juarezmedicalcenterhospital.com,25,0.314,False
CLAIM00039,PAT00953,PROV0082,2025-10-02 15:20:12.348144,orthopedics,D009,P009,M009,43400.74,submitted,none,True,False,False,False,True,Duplicate Billing,Ronald Horton,neurology,New York,25,LIC72518,Blake Group Medical Center,390.610.4328x986,ronald.horton@blakegroupmedicalcenterhospital.com,95,0.705,True
CLAIM00040,PAT00178,PROV0040,2025-08-23 15:20:12.348144,orthopedics,D008,P007,M008,2027.94,rejected,none,False,False,False,False,False,None,Jeremy Dalton,neurology,Philadelphia,4,LIC76562,Torres-Oliver Medical Center,+1-213-834-1232x812,jeremy.dalton@torres-olivermedicalcenterhospital.com,73,0.624,True
CLAIM00041,PAT00059,PROV0048,2025-10-17 15:20:12.348144,cardiology,D002,P001,M004,2827.27,approved,none,False,False,False,False,False,None,Phillip Bennett,cardiology,Phoenix,17,LIC25129,Kane-Pollard Medical Center,896.436.0576,phillip.bennett@kane-pollardmedicalcenterhospital.com,45,0.062,False
CLAIM00042,PAT01221,PROV0008,2025-12-09 15:20:12.348144,oncology,D005,P014,M006,20066.51,submitted,mismatch_specialty_procedure,True,False,True,False,True,Duplicate Billing; Specialty-Procedure Mismatch,Katherine Rodriguez,orthopedics,Denver,13,LIC19116,Koch-Decker Medical Center,430-639-1171x8227,katherine.rodriguez@koch-deckermedicalcenterhospital.com,79,0.871,True
